month,year,date,large_half_dozen,large_dozen,extra_large_half_dozen,extra_large_dozen,avg_price
September,2008,September 2008,174.5,277.5,185.5,285.5,230.75
October,2008,October 2008,174.5,277.5,185.5,285.5,230.75
November,2008,November 2008,174.5,277.5,185.5,285.5,230.75
December,2008,December 2008,174.5,277.5,185.5,285.5,230.75
January,2009,January 2009,174.5,277.5,185.5,285.5,230.75
February,2009,February 2009,174.5,277.5,185.5,285.5,230.75
March,2009,March 2009,174.5,277.5,185.5,285.5,230.75
April,2009,April 2009,174.5,277.5,185.5,285.5,230.75
May,2009,May 2009,174.5,277.5,185.5,285.5,230.75
June,2009,June 2009,174.5,277.5,185.5,285.5,230.75
July,2009,July 2009,174.5,277.5,185.5,285.5,230.75
August,2009,August 2009,174.5,271.5,185.5,285.5,229.25
September,2009,September 2009,174.5,271.5,185.5,285.5,229.25
October,2009,October 2009,174.5,271.5,185.5,285.5,229.25
November,2009,November 2009,174.5,271.5,185.5,285.5,229.25
December,2009,December 2009,174.5,271.5,185.5,285.5,229.25
January,2010,January 2010,174.5,271.5,185.5,285.5,229.25
February,2010,February 2010,174.5,271.5,185.5,285.5,229.25
March,2010,March 2010,174.5,268,185.5,285.5,228.38
April,2010,April 2010,174.5,268,185.5,285.5,228.38
May,2010,May 2010,174.5,268,185.5,285.5,228.38
June,2010,June 2010,174.5,268,185.5,285.5,228.38
July,2010,July 2010,174.5,268,185.5,285.5,228.38
August,2010,August 2010,174.5,268,185.5,285.5,228.38
September,2010,September 2010,174.5,268,185.5,285.5,228.38
October,2010,October 2010,174.5,267.5,185.5,285.5,228.25
November,2010,November 2010,174.5,267.5,185.5,285.5,228.25
December,2010,December 2010,174.5,267.5,185.5,285.5,228.25
January,2011,January 2011,174.5,267.5,185.5,285.5,228.25
February,2011,February 2011,174.5,267.5,185.5,285.5,228.25
March,2011,March 2011,174.5,267.5,185.5,285.5,228.25
April,2011,April 2011,174.5,267.5,185.5,285.5,228.25
May,2011,May 2011,174.5,267.5,185.5,285.5,228.25
June,2011,June 2011,174.5,270,185.5,285.5,228.88
July,2011,July 2011,174.5,270,185.5,285.5,228.88
August,2011,August 2011,174.5,270,185.5,285.5,228.88
September,2011,September 2011,174.5,270,185.5,285.5,228.88
October,2011,October 2011,174.5,270,185.5,285.5,228.88
November,2011,November 2011,174.5,270,185.5,285.5,228.88
December,2011,December 2011,174.5,270,185.5,285.5,228.88
January,2012,January 2012,174.5,267.5,185.5,285.5,228.25
February,2012,February 2012,174.5,267.5,185.5,288.5,229.00
March,2012,March 2012,174.5,267.5,185.5,288.5,229.00
April,2012,April 2012,174.5,267.5,185.5,288.5,229.00
May,2012,May 2012,173.25,267.5,185.5,288.5,228.69
June,2012,June 2012,173.25,267.5,185.5,288.5,228.69
July,2012,July 2012,173.25,267.5,185.5,288.5,228.69
August,2012,August 2012,173.25,267.5,185.5,288.5,228.69
September,2012,September 2012,173.25,267.5,185.5,288.5,228.69
October,2012,October 2012,173.25,267.5,185.5,288.5,228.69
November,2012,November 2012,178,267.5,188.13,290,230.91
December,2012,December 2012,178,267.5,188.13,290,230.91
January,2013,January 2013,178,267.5,188.13,290,230.91
February,2013,February 2013,178,267.5,188.13,290,230.91
March,2013,March 2013,178,267.5,188.13,290,230.91
April,2013,April 2013,178,267.5,188.13,290,230.91
May,2013,May 2013,178,267.5,188.13,290,230.91
June,2013,June 2013,178,267.5,188.13,290,230.91
July,2013,July 2013,178,267.5,188.13,290,230.91
August,2013,August 2013,178,267.5,188.13,290,230.91
September,2013,September 2013,178,267.5,188.13,290,230.91
October,2013,October 2013,178,267.5,188.13,290,230.91
November,2013,November 2013,178,267.5,188.13,290,230.91
December,2013,December 2013,178,267.5,188.13,290,230.91
